APPLICATIONFEE,APPROVALREQUIRED,AREA,BATHSFULL,BATHSHALF,BEDS,CITY,CLOSEDDATE,COMPACTOR,COMPBONUS,CONNECTIONS,COOLSYSTEM,COOPSALE,COUNTERTOPS,COUNTRY,COUNTY,DAYSONMARKET,DAYSONMARKETCUMULATIVE,DAYSTOCLOSING,DEPOSITPET,DEPOSITSECURITY,GARAGECAP,GPEXT_GEOCODEDATE,GPEXT_LATITUDE,GPEXT_LONGITUDE,LEASEPRICE,LEGALSUBDIVISION,LISTDATE,LISTPRICE,LOTSIZE,LOTSIZESRC,PETS,PHOTOCOUNT,PHOTODATE,REALREMARKS,RECFACILITYFEE,REMARKS,REMOVALOPTDATE,RENTALTERMS,RENTALTYPE,SQFTBLDG,SQFTSOURCE,STORIES,STREETDIR,STREETNAME,STREETNUM,STREETNUMDISPLAY,SUBDIVISION,YEARBUILT,ZIP4,ZIPCODE
35,Y,30,1,1,3,ROSENBERG,1/31/14 0:00,N,NULL,"GASDR,WASHR",CNELE,N,NULL,183,FORTBEND,29,29,2,Y,1100,1,12/31/13 8:49,29.55431747,-95.81562805,1100,ALLENDALE MANOR,12/31/13 0:00,1100,8640,APPDS,CSBAS,10,12/31/13 8:49,"Accepted application. Waiting on the monies. Good renters please, case by case basis on pets. Currently being cleaned.",NULL,"Beautiful older home in Olde Rosenberg with lots of charm,  ceiling fans, and 2 in blinds.  Fully fence to keep the kids in and a large gameroom for fun and games for the kids or you. Close to churches, shopping, 59 and 36.",1/30/14 0:00,1YEAR,FREES,1702,APDIS,1,NULL,FROST ST,1312,1312,ALLENDALE MANOR,1955,3132,77471
40,Y,30,2,0,3,RICHMOND,1/31/14 0:00,NULL,NULL,NULL,CNELE,N,NULL,183,FORTBEND,28,28,1,Y,2090,2,1/2/14 8:06,29.49984741,-95.77074432,1095,SUNRISE MEADOW,1/2/14 0:00,1145,5145,APPDS,CSBAS,6,7/18/14 1:10,"This rental will be available for showing starting February 1st, and will be ready for move in March 1st. please note owner requires $2090 upfront for security deposit. Prospective tenants must supply $40 non-refundable application fee($80 for couples) in cash or cashiers check. Must submit lease application, copy of D.L., social security card, pay stubs for last two months, and W-2's for last two years. All funds due upon application and lease contract approval.",NULL,"Beautiful 3 bedroom home located in the brand new sunrise meadow subdivision will be ready for move in on March 1st! Laminate wood flooring in oversized living area, open concept kitchen with ceramic tile flooring and gently used appliances. Great split floor plan with spacious master bedroom. Master bathroom features a large garden tub and walk in closet. Lots of natural sunlight throughout. Great school district. Must See !",NULL,1YEAR,NULL,1429,APDIS,1,NULL,WHEATSTONE CT,4606,4606,SUNRISE MEADOW SEC 4,2009,5448,77469
50,Y,30,2,1,4,ROSENBERG,1/31/14 0:00,NULL,NULL,"ELDRY,GASDR",CNELE,N,formica,183,FORTBEND,14,14,11,NULL,1370,2,1/6/14 15:14,29.55523682,-95.77161407,1370,VILLAGES OF TOWN CENTER,1/6/14 0:00,1370,6600,APPDS,NOALL,6,7/18/14 1:10,"Tenant occupied until January 31st.  Please give 24 hr notice for appt.  Pictures shown will be how house is rented, not as tenant keeps house.  $50 application fee for each adult over 18 years old.  Agent is owner of property.  I will run credit history, criminal history, and eviction checks.  Please submit application, 2 mos pay stubs, and rental history authorization.  ",NULL,Nice size 4 bedroom house in a family oriented subdivision near surrounding LCISD schools and everything you need in Brazos Shopping Center.  This won't last!  ,NULL,1YEAR,FREES,2237,APDIS,2,NULL,DIVIN DR,1230,1230,VILLAGES OF TOWN CENTER SEC,2004,2483,77471
50,Y,30,2,0,3,RICHMOND,1/31/14 0:00,NULL,NULL,"ELDRY,WASHR",CNELE,N,Granite,183,FORTBEND,8,8,15,Y,1250,2,1/8/14 12:10,29.50124931,-95.76522827,1250,SUNRISE MEADOW,1/8/14 0:00,1250,10051,APPDS,CSBAS,12,1/8/14 12:13,"Office Open M-F 8am-7pm Sat & Sun 10-6pm -MUST REGISTER CLIENT WITH NAME AND EMAIL ADDRESS DURING OFFICE HOURS. Application per occupant 18 or older. Admin fee $75 upon lease signing. Applicant must apply and pay app fee online-www.americanhomes4rent.com, Commission paid 15-30 days after move in. ***REALTOR MUST SHOW PROPERTY TO EARN COMMISSION*** ***APPLICATION FEES WAIVED THROUGH MIDNIGHT OF 01/15/14*** ",NULL,"Fabulous 3BR home, close to Brazos Town Center, ready for move-in! Island Kitchen with breakfast nook open to living room with vaulted ceiling. ",NULL,1YEAR,FREES,1623,APDIS,1,NULL,LOST TIMBER LN,6803,6803,SUNRISE MEADOW SEC 2,2008,4471,77469
35,Y,30,1,0,2,ROSENBERG,1/31/14 0:00,N,NULL,"ELDRY,WASHR",CNELE,N,NULL,183,FORTBEND,10,10,1,Y,675,0,1/20/14 12:57,29.54179955,-95.80196381,675,OTHER - 77471,1/20/14 0:00,675,8159,APPDS,CSBAS,8,1/21/14 19:52,"PLEASE CALL OWNER, CAROL, DIRECT FOR SHOWING INSTRUCTIONS AT (832)746-7739. OWNER IS RELATED TO AGENT.$300 PET DEPOSIT, CASE BY CASE BASIS.",NULL,"CLEAN DUPLEX HAS CENTRAL AIR AND HEAT, TWO BEDROOMS, ONE BATH. LOCATED IN ESTABLISHED AREA OF ROSENBERG WITH EASY ACCESS TO HIGHWAY 59. FRESH PAINT, ELECTRIC STOVE, REFRIGERATOR. $300 PET DEPOSIT ON A CASE BY CASE BASIS. NO FENCE IN BACKYARD. ",NULL,1YEAR,DUPLX,875,SELLR,1,NULL,LEAMAN AVE,2327,2327,ROBYN LEE ADDN,1970,5945,77471
50,Y,30,2,0,3,RICHMOND,1/31/14 0:00,NULL,NULL,NULL,CNELE,N,NULL,183,FORTBEND,7,7,6,Y,1050,2,1/22/14 15:42,29.54203033,-95.69496155,1050,TARA,1/18/14 0:00,1050,0,APPDS,CSBAS,9,1/22/14 15:43,"We need one application completely filled out per adult that will live in the property, together with copy of ID, SS Card, and recent proof of income. $50 application fee per married couple or $50 per single person over 18. Application will be ran once we receive all documents. 24-48 Hours Turn around. Money Orders: Application fee under Red Door Housing Rent & Deposit under Red Door Housing. Full deposit is due after approval. Property will be kept on the market until deposit is paid. ",NULL,Recently updated and ready to lease today! ,NULL,1YEAR,NULL,1452,APDIS,1,NULL,BLUE RIDGE DR,6815,6815,TARA SEC 1,1981,5807,77469
30,Y,30,2,1,4,ROSENBERG,1/30/14 0:00,N,NULL,"ELDRY,GASDR,WASHR","CNELE,ZONED",Y,NULL,183,FORTBEND,59,59,27,Y,1800,2,11/6/13 13:44,29.51515579,-95.81610107,1800,FAIRPARK VILLAGE,11/5/13 0:00,1800,6600,APPDS,CSBAS,24,11/6/13 15:53,"LAWN SERVICE PROVIDED BY LANDLORD. WASHER, DRYER & SS REFRIGERATOR INCLUDED. Owner/Agent.",NULL,"Spacious family home, immaculate condition! 4 bedrooms & 2.5 baths. Large game room upstairs. Master bedroom on the main floor. Open kitchen and family room concept with lots of windows overlooking peaceful backyard. Large kitchen w/hugh walk-in pantry. Home comes with washer, dryer and SS side by side refrigerator. Beautiful neighborhood lake. Located behind the FB Fairgounds, only minutes to hwy 59. Home built in 2010. Home looks brand new!",NULL,1YEAR,FREES,2700,APDIS,2,NULL,DOGWOOD KNOLL TRL,3102,3102,FAIRPARK VILLAGE,2010,6700,77471
50,Y,30,2,0,3,RICHMOND,1/30/14 0:00,NULL,NULL,NULL,CNELE,N,NULL,183,FORTBEND,30,30,NULL,Y,1225,2,12/31/13 11:34,29.54402161,-95.68688965,1225,TARA,12/31/13 0:00,1225,0,APPDS,YESAL,13,1/15/14 11:00,Please call 855.735.2484 to speak with property management about specials and availability,NULL,"Just remodeled cozy home with fresh paint, carpet, new appliances. ",NULL,LONGT,FREES,1470,APDIS,1,NULL,SHARPSBURG DR,7115,7115,TARA SEC 2,1983,6042,77469
40,Y,30,2,0,3,RICHMOND,1/30/14 0:00,N,NULL,"ELDRY,WASHR",CNELE,Y,NULL,183,FORTBEND,21,21,1,Y,1800,2,1/8/14 18:32,29.69232178,-95.82632446,1900,CANYON SPRINGS AT WESTHEIMER LAKES,1/8/14 0:00,1800,9283,APPDS,CSBAS,14,1/8/14 18:32,"ATTENTION AGENTS: ALL ITEMS need to be received in order to start processing application.  Please turn in a FULLY completed application (with all phone numbers to verify references), 2 current paystubs & copy of driver's license.  $40 Application fee per adult. All occupants over the age of 18 need to complete application.  Application fee can be paid online at www.SUGARLANDPM.com. Once approved, SECURITY DEPOSIT IS DUE WITHIN 48 HOURS ALONG WITH A SIGNED LEASE which we will prepare.",NULL,"Charming one story home, open concept floor plan in a gated community, built in 2006, recently installed plush carpet (Jan 2013), recently interior painted in a warm neutral color (Jan 2013), Includes formal dining room, large size gameroom, study/office, living room w/ fireplace, you will enjoy the beautiful water front view once you enter into the spacious backyard. Must show this property to your picky clients!!!",NULL,1YEAR,FREES,2484,APDIS,1,NULL,S. Lakefair DR,26003,26003,CANYON SPRINGS AT WESTHEIMER,2006,NULL,77406
45,Y,30,2,1,3,ROSENBERG,1/27/14 0:00,NULL,NULL,NULL,CNELE,Y,Laminate,183,FORTBEND,5,5,21,Y,1100,2,1/1/14 18:48,29.54569054,-95.83200836,1100,SEABOURNE MEADOWS,1/1/14 0:00,1100,7200,APPDS,CSBAS,11,1/1/14 18:57,"Available now for new tenant.  All tile downstairs, fireplace.  Nice kitchen appliances.  Covered front and back porch!  Text Agent for appointment!",NULL,"Excellent condition and available for new tenant.  All ceramic tile downstairs, fireplace, and nice kitchen appliances.  Extra large master bedroom!",NULL,1YEAR,FREES,1312,APDIS,2,NULL,HARRISBURG CT,1010,1010,SEABOURNE MEADOWS SEC 2,2011,7208,77471
60,Y,30,3,1,5,SUGAR LAND,1/26/14 0:00,N,NULL,"ELDRY,GASDR,WASHR",CNELE,N,LAMINATE,183,FORTBEND,30,30,24,Y,1875,2,11/6/13 10:54,29.57512283,-95.67664337,1875,RIVERPARK,11/6/13 0:00,1875,0,APPDS,CSBAS,13,11/6/13 10:54,WILL NOT BE AVIALABLE UNTIL JANUARY 7TH,NULL,"BEAUTIFUL 5 BEDROOM HOME ON CORNER LOT IN DESIRABLE RIVERPARK SUBDIVISION.SPLIT FORMALS.HUGE DEN WITH HIGH CEILING AND FIREPLACE.KITCHEN HAS LONG ISLAND WITH PLENTY OF STORAGE.MASTER BEDROOM IS DOWN,MASTERBATH HAS SEPERATE TUB AND SHOWER.LARGE WALK IN CLOSET.UPSTAIRS HAS 4 BEDROOMS WITH GAMROOM AREA. RECENT PAINT AND CARPET, THIS PROERTY SHOWS WELL AND WILL NOT LAST LONG....FENCED BACKYARD, SPRINKLER SYSTEM...AREA POOL.",1/25/14 0:00,1YEAR,FREES,3097,APDIS,2,NULL,HILL CANYON CT,2103,2103,RIVERPARK SEC 1,2000,8963,77479
45,Y,30,3,1,5,ROSENBERG,1/26/14 0:00,NULL,NULL,NULL,CNELE,N,Laminate,183,FORTBEND,26,26,20,Y,1500,2,12/12/13 12:22,29.54520607,-95.83164978,1500,SEABOURNE MEADOWS,12/11/13 0:00,1500,0,APPDS,CSBAS,12,12/16/13 19:13,"Excellent rental for a large family.  Has 2 master bedrooms.  Game room up, ready for move in.",NULL,"Large family home ready for move in.  Master bedroom down, large kitchen.  Open plan with kitchen separating dining and family room.  Upstairs there are 4 bedrooms and two full baths plus gameroom.  ",NULL,1YEAR,FREES,2536,APDIS,2,NULL,HARRISBURG CT,1003,1003,SEABOURNE MEADOWS SEC 2,2008,7209,77471
50,Y,30,2,0,2,RICHMOND,1/26/14 0:00,N,NULL,NULL,CNELE,N,Laminate,183,FORTBEND,7,7,19,Y,995,1,12/31/13 11:40,29.50028229,-95.77148438,995,SUNRISE MEADOW,12/31/13 0:00,995,4935,APPDS,CSBAS,7,7/18/14 1:10,"Vacant, ready for move in, combo lock, Call Jo Ann 281-414-1990, leave message and show.  ''4444''.",NULL,"Single story brick, perfect for roommates or small family, two bedrooms, two full baths, ceiling fans, large eat in kitchen, back patio, fenced yard, quiet cul-de-sac street",1/25/14 0:00,1YEAR,FREES,1022,APDIS,1,NULL,TULIP GARDEN CT,4610,4610,SUNRISE MEADOW SEC 4,2009,5447,77469
50,Y,30,2,0,4,ROSENBERG,1/25/14 0:00,N,NULL,NULL,CNELE,N,FORMICA,183,FORTBEND,36,36,0,N,1550,2,12/20/13 17:08,29.54006958,-95.73036957,1550,SUMMER LAKES,12/20/13 0:00,1550,6000,APPDS,NOALL,7,12/20/13 17:13,"no pet, no smoker, no short term lease.",NULL,"Copy one story home has 4 bedroom. Laminated wood in living areas. Tile in kitchen and bathrooms. High ceiling. Fire place. Split bedrooms. Sept. shower and tub in master bathroom. Led glass front door. Garage door opener. No pets, no smoker, no short term lease.",NULL,1YEAR,FREES,2117,APDIS,1,NULL,SILENT DEEP DR,8234,8234,SUMMER LAKES SEC 3,2008,1697,77469
35,Y,30,3,1,4,SUGAR LAND,1/25/14 0:00,NULL,NULL,ELDRY,CNELE,N,NULL,183,FORTBEND,21,21,1,NULL,NULL,3,1/3/14 13:00,29.55674171,-95.66136169,4100,GREATWOOD TRAILS,1/3/14 0:00,4100,11320,APPDS,NOALL,22,1/3/14 13:00,"EASY to show. Absolutely stunning 2 story, 4 bedrooms + Media Room + Game room home in the fabulous Greatwood community! This home features soaring ceilings, a dream kitchen, and an outdoor paradise. There is lots of room for all the toys with a three car garage plus carport. This home shows like a model. Also available for sale @ $495,000. Seller is very motivated! Very convenient-Lease includes scheduled extermination (interior and exterior), pool/spa and lawn maintenance! $35/app fee/adult",NULL,"Absolutely stunning 2 story, 4 bedrooms + Media Room + Game room home in the fabulous Greatwood community! This home features soaring ceilings, a dream kitchen, and an outdoor paradise. There is lots of room for all the toys with a three car garage plus attached carport. This home shows like a model. Lease includes regular property extermination, pool/spa and lawn maintenance. Move in ready!",NULL,1YEAR,FREES,3939,APDIS,2,NULL,GREENHAVEN DR,2311,2311,GREATWOOD WOODHAVEN SEC 2,2004,5468,77479
38,Y,30,2,1,4,ROSENBERG,1/24/14 0:00,NULL,NULL,NULL,CNELE,N,NULL,183,FORTBEND,81,81,2,Y,2450,2,11/1/13 22:45,29.52620888,-95.71608734,2175,BONBROOK PLANTATION,11/2/13 0:00,2175,13951,APPDS,CSBAS,28,12/15/13 22:54,Home is occupied by the owners.  Rental amount includes appliances.  Lawn care can be included for $100/month more.  Short term rental may be accepted at a higher rent amount. Home is certified as an eSmart Green home(i.e. reduced utility bills),NULL,"Great home in a master planned community!  Spacious house with an oversized backyard.  4Bedroom/2.5 bath/2 car garage. Home is certified as an eSmart Green Home, which translates to reduced utility bills. Rental amount includes all major appliances.  Lawn care can be included for an additional fee.  Please call for a showing today, you will not be disappointed!!",NULL,LONGT,FREES,3074,APDIS,2,NULL,BLOSSOM TERRACE LN,427,427,BONBROOK PLANTATION NORTH SE,2010,4798,77469
50,Y,30,2,1,3,Richmond,1/24/14 0:00,NULL,0,"ELDRY,GASDR,WASHR",CNELE,N,NULL,183,FORTBEND,16,16,11,NULL,1550,2,12/28/13 9:30,29.54699707,-95.70716095,1550,CANYON GATE AT THE BRAZOS,12/28/13 0:00,1550,0,APPDS,NOALL,12,12/28/13 10:10,"The house is available for immediately move-in, please check with the gate security personnel for assistance if you have issue to access the community, thank you for showing!",NULL,"This house is located in a gated, quite and well-managed community with tennis court & fitness center, the house floor plan has a beautiful design with very nice opening from upstairs game-room to below area, in clean and neat conditions, it won't last long in the market, must see!",NULL,LONGT,FREES,2074,APDIS,NULL,NULL,Brazos Trace,615,615,CANYON GATE AT THE BRAZOS,2003,NULL,77469
75,Y,30,2,0,3,RICHMOND,1/24/14 0:00,N,NULL,ELDRY,CNELE,N,NULL,183,FORTBEND,15,15,3,Y,1100,1,1/6/14 21:36,29.5466671,-95.69139862,1125,TARA,1/6/14 0:00,1100,0,APPDS,CSBAS,13,1/6/14 21:38,Current tenant has little baby. Please allow some notice.,NULL,"Adorable property nicely updated and waiting for someone to call home! Recent paint, carpet, light fixtures, counter tops and built-microwave.  Zoned to exemplary elementary school and the new George Ranch High School. Large backyard with covered patio. Walking distance to park. Easy access to Southwest Freeway and Grand Parkway.    Call today to schedule showing!",NULL,1YEAR,FREES,1241,APDIS,1,NULL,STONEWALL DR,711,711,TARA SEC 1,1981,5711,77469
40,Y,30,2,0,3,ROSENBERG,1/24/14 0:00,N,NULL,"ELDRY,GASDR,WASHR",CNELE,N,NULL,183,FORTBEND,13,13,2,Y,1350,2,1/9/14 10:01,29.52857018,-95.73239136,1350,RIVER RUN AT THE BRAZOS,1/9/14 0:00,1350,0,APPDS,CSBAS,12,1/9/14 10:01,"ATTENTION AGENTS: ALL ITEMS need to be received in order to start processing application.  Please turn in a FULLY completed application (with all phone numbers to verify references), 2 current paystubs & copy of driver's license.  $40 Application fee per adult. All occupants over the age of 18 need to complete application.  Application fee can be paid online at www.SUGARLANDPM.com. Once approved, SECURITY DEPOSIT IS DUE WITHIN 48 HOURS ALONG WITH A SIGNED LEASE which we will prepare.",NULL,"Charming one story spacious home built in 2006, Master bedroom offers a large walk in closet and a beautiful master bathroom, Updates in April 2012 include: Plush Neutral Carpet, Painted Entire Interior (Kilim Beige Color) and All Window Blinds. Backyard is big enough for fun and exciting entertainment. Must show this home to your picky clients!! Refrigerator Included!",NULL,1YEAR,FREES,1519,APDIS,1,NULL,HONEYSUCKLE VINE DR,843,843,RIVER RUN AT THE BRAZOS SEC,2006,4856,77469
75,Y,30,2,0,3,ROSENBERG,1/23/14 0:00,N,NULL,"ELDRY,GASDR",CNELE,N,granite,183,FORTBEND,43,43,1,Y,1600,2,12/10/13 15:37,29.53049469,-95.72750854,1550,BONBROOK PLANTATION,12/10/13 0:00,1550,8454,APPDS,CSBAS,24,12/10/13 15:45,"CUTE CORNER LOT ONE STORY WITH BACK COVERED PATIO, 2CAR GARAGE, FULLY FENCED CLOSE TO COMMUNITY POOL AND RECREATION AREA. BRING CURRENT CREDIT REPORT AND REFERENCES WITH FULL APPLICATION",OWNER,"CUTE CORNER LOT ONE STORY WITH BACK COVERED PATIO, 2CAR GARAGE, FULLY FENCED CLOSE TO COMMUNITY POOL AND RECREATION AREA. BRING CURRENT CREDIT REPORT AND REFERENCES WITH FULL APPLICATION",NULL,1YEAR,FREES,1843,APDIS,1,NULL,HENRICO LN,8638,8638,BONBROOK PLANTATION SOUTH SE,2007,4876,77469
45,Y,30,2,0,4,ROSENBERG,1/23/14 0:00,N,NULL,"ELDRY,WASHR",CNELE,N,Corian,183,FORTBEND,18,18,6,NULL,1600,2,12/25/13 13:30,29.52893066,-95.73427582,1475,RIVER RUN AT THE BRAZOS,12/30/13 0:00,1500,0,APPDS,NOALL,22,7/18/14 1:10,"Please turn in a FULLY completed application for adults over 18 with ALL phone numbers.... copies of DL and last 2 Pay Stubs.... Once approved security deposit is due within 24 hours...Application Fee is $45 per adult....Cash, MO or Cashier's check made to Ravi Wagle...No Pets, No Smokers and No Section 8...MUST have good credit and Good Rental History....Rent will be $1,475 if the tenant signs a 18 month lease....Ready for immediate Move-In....Thank you for showing.",OWNER,"Beautiful & Very Clean 4 BR, 2 Full Bath home with a large Kitchen and Open Floor Plan...Wooden floors in Den & Master Bedroom....Tile in Foyer, Kitchen and all wet areas....Carpet in secondary bedrooms...2'' Blinds on all windows...Garage Door Openers...Coverd Porch...Fully Fenced Yard....Sprinkler System....Breakfast Area....Gas Cooking & Heating....Microwave....Lots of Cabinets in the Kitchen....Rent will be reduced to $1,475 for a 18 month lease....Great location....Come see today!!",1/26/14 0:00,LONGT,NULL,2025,APDIS,1,NULL,CLOVER LEAF DR,8214,8214,RIVER RUN AT THE BRAZOS SEC,2009,4863,77469
50,Y,30,2,1,4,RICHMOND,1/22/14 0:00,NULL,NULL,"ELDRY,GASDR,WASHR",CNELE,N,GRANITE,183,FORTBEND,11,11,5,Y,1850,2,1/6/14 15:44,29.57029533,-95.74782562,1795,FOUNTAINS AT JANE LONG FARM,1/6/14 0:00,1795,0,APPDS,CSBAS,12,7/18/14 1:10,"AGENT!! BRING QUALIFY TENANT, SUBMIT LEASE APPLICATION ALONG WITH COPY OF DRIVER LICENSE, SOCIAL, PAYCHECK. $50 LEASE APP. PROPERTY IS READY TO GO. THANKS",NULL,"NEW AND QUIET NEIGHBORHOOD. THIS PROPERTY HAS IT ALL. OPEN HIGH CEILING, NEW WOOD FLOOR IN ALL BEDROOM, DINING, STUDY,GAMEROOM, LIVING. NEW PAINT,GRANITE IN KITCHEN, WASHER/DRYER/REFRIGERATOR INCLUDED. READY TO MOVE IN. CALL YOUR AGENT TO SHOW TODAY. READY TO MOVE IN.",1/25/14 0:00,1YEAR,FREES,2718,APDIS,2,NULL,HAVEN SPRINGS LN,2013,2013,FOUNTAINS AT JANE LONG FARMS,2006,4279,77469
35,Y,30,2,0,3,RICHMOND,1/21/14 0:00,N,NULL,"ELDRY,WASHR",CNELE,N,Laminate,183,FORTBEND,41,41,4,Y,1250,2,12/5/13 16:01,29.49869347,-95.77177429,1250,SUNRISE MEADOW,12/7/13 0:00,1250,6249,APPDS,CSBAS,14,12/7/13 15:46,"No smokers. Landlord prefers good credit. Please submit application for each tenant over the age of 17, plus an application fee for each tenant in the amount of $35 (payable in cash or money order) to my office.",OWNER,"This very nice home with open floor plan features a HUGE corner lot, tile and wood laminate flooring throughout (no carpet!), ceiling fans, and large backyard. You'll love the roomy master suite with walk-in closet. Check out the pictures, and come see this home before it's gone!",NULL,1YEAR,FREES,1219,APDIS,2,NULL,ARBORVINE CT,4707,4707,SUNRISE MEADOW SEC 5,2011,5700,77469
50,Y,30,2,0,4,sugarland,1/21/14 0:00,N,NULL,"ELDRY,GASDR,WASHR",CNELE,N,NULL,183,FORTBEND,15,31,0,Y,1800,2,1/6/14 12:52,29.55140495,-95.69127655,1700,GREATWOOD VILLAGE,1/6/14 0:00,1700,NULL,NULL,CSBAS,10,7/18/14 1:10,no yard sign. One pet under 20lb.,NULL,Spacious Emerald home has big island kitchen.Big living room.Wood floor. Recent tile in master and 2nd bathroom. Whirlpool tub.Big yard.Covered patio.Sprinkler. Garage door opener.Walk to school.No short term lease.One pet under 20lb.No smoker.,NULL,1YEAR,NULL,2151,APDIS,1,NULL,Wildacre Dr.,6746,6746,Greatwood Village,1991,NULL,77479
45,Y,30,2,1,3,SUGAR LAND,1/20/14 0:00,N,NULL,NULL,CNELE,Y,GRANITE,183,FORTBEND,8,8,5,Y,2000,2,1/7/14 16:58,29.57117081,-95.69129181,2000,RIVERPARK,1/7/14 0:00,2000,0,APPDS,CSBAS,32,1/7/14 18:15,"When applying, please provide copies of DL for everyone over 18 and proof of income (pay stub or bank statement or tax returns). Alarm can be activated by tenant. Water softener can be used by tenant but must call a plumber for instruction. The game room has a privacy door so it could be used as a 4th bedroom.  There's a closet in the game room as well.",NULL,"***BACKYARD PARADISE with pool, hot tub, outdoor kitchen, comes with patio furniture & outdoor speakers, no back neighbors***tile flooring downstairs, stainless appliances, under mount cabinet lighting, dark stained cabinets, granite, wood block island***UPDATED MASTER BATH with dual sinks, dual shower heads, dual storage towers, granite counter, jetted tub***speakers in game room and master bed, access to bike trails through the back gate***POOL MAINTENANCE INCLUDED*** big closets, lemon tree",NULL,LONGT,NULL,2675,APDIS,2,NULL,RICHLAND SPRING LN,2810,2810,RIVERPARK,2003,8881,77479
30,Y,30,2,0,3,SUGAR LAND,1/17/14 0:00,N,NULL,NULL,CNELE,N,granite,183,FORTBEND,11,11,2,Y,1825,2,1/4/14 15:15,29.55660057,-95.68744659,1825,GREATWOOD GREEN,1/4/14 0:00,1825,6332,APPDS,CSBAS,32,1/4/14 16:59,*** Good credit only*** Must provide 2 months pay stubs***Copies of drivers license for each person over age 18*** Washer and dryer included***WATER INCLUDED***YARD SERVICE INCLUDED***,NULL,"Quiet section of GW, quick access in&out of the neighborhood. Granite counters, updated backsplash, wood entry, stainless microwave, WATER BILL INCLUDED IN MONTHLY RENT-LANDLORD PAYS WATER, YARD SERVICE INCLUDED, washer & dryer included. Crown molding, decorative archways, can lighting, breakfast bar, large backyard, lots of windows - light & bright, dark stained mahogany front door, wood burning fireplace, gas cook top, kitchen island, tile in wet areas, large back patio, gas grill",NULL,1YEAR,PATIO,1745,APDIS,1,NULL,TEAL BROOK LN,1711,1711,GREATWOOD GREEN,1997,6328,77479
45,Y,30,2,1,4,RICHMOND,1/16/14 0:00,N,NULL,NULL,CNELE,N,NULL,183,FORTBEND,32,32,6,Y,NULL,2,12/9/13 11:08,29.53661919,-95.69281769,1475,TARA,12/9/13 0:00,1475,0,APPDS,CSBAS,13,12/9/13 11:14,no appointment necessary - Lock box code 0704,NULL,"Beautiful 4 bedroom, 2.5 bath home in established subdivision.   Pride of ownership really shows in Tara!  The house has a terrific open layout that includes many features such as a corner fireplace, built-in shelves and desk, mirrored dining room and much more!  Outside features a 10  x 12  Morgan storage shed with ramp and a tremendous wooden deck, great fro relaxing or entertaining friends!  The house is a terrific value at this price and is sure to go quickly",NULL,LONGT,FREES,2260,APDIS,1,NULL,STONEWALL RIDGE DR,7026,7026,TARA,1986,5921,77469
45,Y,30,2,0,3,SUGAR LAND,1/16/14 0:00,N,NULL,"ELDRY,GASDR,WASHR",CNELE,N,NULL,183,FORTBEND,17,17,2,Y,NULL,2,12/25/13 6:27,29.55623817,-95.68814087,1695,GREATWOOD GREEN,12/28/13 0:00,1695,0,APPDS,CSBAS,18,12/28/13 5:59,$45 application fee for single and $75 Application fee for married with the same last name.  Everyone over 18 needs an application.  Cash only. NO SHOWINGS UNTIL JANUARY 5TH 2014,NULL,"Great David Weekley patio home.  3 bedroom 2 bath or a 2 bedroom with a study/nursery.  High ceilings, open plan.  Island kitchen, New stainless appliances. lots of built-ins.  Both formals, lots of crown molding.  Sprinkler system. nice size patio out back. The entrance to the Greatwood golf course is very close house. NO SHOWINGS UNTIL JANUARY 5TH 2014",NULL,1YEAR,PATIO,2140,APDIS,1,NULL,WILD RYE TRL,1627,1627,GREATWOOD GREEN,1996,6330,77479
40,Y,30,2,0,3,RICHMOND,1/15/14 0:00,N,NULL,"ELDRY,WASHR",CNELE,N,Laminate,183,FORTBEND,66,66,6,Y,1425,2,11/1/13 12:30,29.54346657,-95.6920929,1250,TARA,11/4/13 0:00,1349,NULL,NULL,CSBAS,11,11/12/13 12:24,"ADORABLE ONE STORY HOME WITH THREE BEDROOMS! RECENT A/C, HEAT AND ROOF REPLACED! NICE EXTERIOR PAINT! GOOD SIZED BACK YARD, LUSH LANDSCAPE! GREAT LOCATION TO SOUTHWEST FREEWAY AND SHOPPING CENTERS! THIS HOME WON'T LAST LONG!",OWNER,"ADORABLE ONE STORY HOME WITH THREE BEDROOMS! RECENT A/C, HEAT AND ROOF REPLACED! NICE EXTERIOR PAINT! GOOD SIZED BACK YARD, LUSH LANDSCAPE! GREAT LOCATION TO SOUTHWEST FREEWAY AND SHOPPING CENTERS! THIS HOME WON'T LAST LONG!",NULL,1YEAR,FREES,1419,APDIS,1,NULL,JEFF DAVIS,507,507,TARA,1982,NULL,77469
